# Player,GP,GS,MIN,AVG (MIN/GP),FG,FGA,FG% (FG/FGA),3FG,3FGA,3FG% (3FG/3FGA),FT,FTA,FT%,OFF,DEF,TOT,AVG_R,PF,DQ,A,TO,BLK,STL,PTS,AVG
"11, Photo, Kenny",18,18,469,26.05555556,92,145,0.6344827586,0,0,0,48,72,0.6666666667,54,81,135,7.5,30,0,38,33,9,13,232,12.9
"30, Swenson, Stephan",17,17,484,28.47058824,76,160,0.475,43,96,0.4479166667,17,24,0.7083333333,11,53,64,3.8,39,1,75,41,3,29,212,12.5
"10, Fontenet II, Jason",18,18,541,30.05555556,61,146,0.4178082192,21,62,0.3387096774,52,66,0.7878787879,21,92,113,6.3,41,1,34,33,4,14,195,10.8
"02, Turner, Deuce",18,2,366,20.33333333,61,148,0.4121621622,21,73,0.2876712329,34,42,0.8095238095,2,35,37,2.1,26,0,20,25,1,11,177,9.8
"04, Anderson, Cole",18,18,484,26.88888889,51,102,0.5,43,83,0.5180722892,10,11,0.9090909091,3,36,39,2.2,27,0,15,10,2,9,155,8.6
"07, Smith, Colin",11,6,234,21.27272727,26,65,0.4,14,36,0.3888888889,12,18,0.6666666667,15,21,36,3.3,19,0,16,17,4,3,78,7.1
"24, Sensley, Zion",9,0,80,8.888888889,18,37,0.4864864865,10,25,0.4,7,10,0.7,1,10,11,1.2,9,0,1,5,1,2,53,5.9
"09, Murrell, Max",15,8,256,17.06666667,22,64,0.34375,14,50,0.28,5,6,0.8333333333,5,23,28,1.9,26,1,15,10,5,1,63,4.2
"01, Shtolzberg, Ben",17,1,238,14,19,38,0.5,3,9,0.3333333333,16,18,0.8888888889,3,36,39,2.3,10,0,29,9,1,4,57,3.4
"44, Clark, Zachiah",5,0,38,7.6,6,12,0.5,1,4,0.25,1,2,0.5,0,3,3,0.6,3,0,3,4,0,3,14,2.8
"03, Mitchell, Chris",9,0,81,9,9,23,0.3913043478,1,8,0.125,2,5,0.4,3,13,16,1.8,7,0,1,9,1,3,21,2.3
"00, Keat Tong, Koat",13,1,118,9.076923077,11,20,0.55,1,2,0.5,6,11,0.5454545455,14,22,36,2.8,14,0,6,5,4,4,29,2.2
"23, Bland, Ariel",14,1,121,8.642857143,13,25,0.52,0,0,0,2,4,0.5,10,18,28,2,18,0,8,8,7,1,28,2
"18, Hartwell, Henry",2,0,5,2.5,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,3,1.5
"12, Kipruto, Evans",10,0,62,6.2,6,12,0.5,0,1,0,0,1,0,5,7,12,1.2,11,0,0,1,8,3,12,1.2
"99, Sheldon, Max",4,0,8,2,1,2,0.5,1,2,0.5,0,0,0,0,1,1,0.3,0,0,1,0,0,0,3,0.8
"27, Howard, Bryce",4,0,7,1.75,1,1,1,0,0,0,0,0,0,0,2,2,0.5,2,0,0,0,0,1,2,0.5
"40, Pickles, David",4,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,18,18,3600,200,474,1001,0.4735264735,174,452,0.3849557522,212,290,0.7310344828,169,480,649,36.1,284,3,263,225,50,101,1334,74.11
Opponents,18,18,3600,200,414,1023,0.4046920821,122,388,0.3144329897,220,291,0.7560137457,167,405,572,31.8,300,6,186,195,38,117,1170,65